2024-09-25 22:32:55.562 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-zencoin-25-sentyabrya/
2024-09-25 22:32:55.562 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-zencoin-25-sentyabrya/ not found
2024-09-25 22:32:57.572 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://bits.media/societe-generale-zapuskaet-torgovlyu-steyblkoinom-eurcv-na-birzhe-bitpanda-/
2024-09-25 22:33:09.747 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://cryptocurrency.tech/geri-genslera-raskritikovali-v-kongresse-ssha/
2024-09-25 22:33:24.313 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://ihodl.com/topnews/2024-09-25/bny-mellon-offer-crypto-etfs-custody-services/
2024-09-25 22:33:24.313 | ERROR    | utils.parser:fetch_news:60 - parser for https://ihodl.com/topnews/2024-09-25/bny-mellon-offer-crypto-etfs-custody-services/ not found
2024-09-25 22:33:26.325 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://bits.media/geri-gensler-kriptoindustriya-pogryazla-v-moshennichestve/
2024-09-25 22:33:36.122 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://ihodl.com/topnews/2024-09-25/sec-reaches-settlement-truecoin-and-trusttoken/
2024-09-25 22:33:36.122 | ERROR    | utils.parser:fetch_news:60 - parser for https://ihodl.com/topnews/2024-09-25/sec-reaches-settlement-truecoin-and-trusttoken/ not found
2024-09-25 22:33:38.140 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://cryptocurrency.tech/bitget-research-btc-budet-torgovatsya-v-diapazone-ot-58-000-do-72-000-v-oktyabre/
2024-09-25 22:33:50.864 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://bits.media/salvador-zaklyuchil-sdelku-po-postavke-kofe-s-oplatoy-v-bitkoinakh/
2024-09-25 22:34:00.145 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://bits.media/eks-glava-alameda-research-poluchila-dva-goda-tyurmy-za-uchastie-v-moshennichestve-s-ftx/
2024-09-25 22:34:11.018 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://bits.media/planb-bitkoin-nabiraet-silu-i-gotovitsya-k-ryvku/
2024-09-25 22:34:23.280 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://happycoin.club/shvejczarskij-kantonal-bank-nachal-predlagat-kriptouslugi/
2024-09-25 22:34:52.473 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-bee-harvest-25-sentyabrya/
2024-09-25 22:34:52.474 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-bee-harvest-25-sentyabrya/ not found
2024-09-25 22:34:54.486 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://hashtelegraph.com/bitkoin-etf-na-pozitive-chetvertyj-den-podrjad-nabljudaetsja-pritok-sredstv/
2024-09-25 22:35:05.841 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://www.rbc.ru/crypto/news/66f2c3779a794764606d2e7a
2024-09-25 22:35:18.312 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-tap-swap-25-sentyabrya/
2024-09-25 22:35:18.312 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-tap-swap-25-sentyabrya/ not found
2024-09-25 22:35:20.320 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinspot.io/cryptocurrencies/pixeltap-kombo-na-segodnya-25-sentyabrya/
2024-09-25 22:35:31.424 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://happycoin.club/ekspert-predstavil-prognoz-o-czene-ton-v-oktyabre/
2024-09-25 22:35:41.306 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://cryptocurrency.tech/sec-nalozhila-shtraf-na-trusttoken-i-truecoin/
2024-09-25 22:36:08.049 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-baboon-25-sentyabrya/
2024-09-25 22:36:08.049 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-baboon-25-sentyabrya/ not found
2024-09-25 22:36:10.054 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://www.rbc.ru/crypto/news/66f4547f9a794732bfffa9ea
2024-09-25 22:36:18.529 | WARNING  | __main__:<module>:41 - Bot stopped
2024-09-25 22:36:39.459 | INFO     | utils.modes:__init__:7 - modding is off
2024-09-25 22:36:39.608 | INFO     | utils.main_monitoring:__init__:183 - scheduler initialized but not started
2024-09-25 22:36:39.614 | INFO     | __main__:start_params:19 - Bot started
2024-09-25 22:36:39.617 | INFO     | utils.main_monitoring:start_monitoring:194 - monitoring started
2024-09-25 22:36:39.618 | INFO     | utils.main_monitoring:parse_news:67 - parsing news from coinlenta...
2024-09-25 22:36:42.804 | INFO     | utils.main_monitoring:parse_news:82 - new links found
2024-09-25 22:36:42.804 | INFO     | utils.main_monitoring:parse_news:87 - parsing https://coinmania.com/news/combo-tap-swap-25-sentyabrya/
2024-09-25 22:36:42.804 | ERROR    | utils.parser:fetch_news:60 - parser for https://coinmania.com/news/combo-tap-swap-25-sentyabrya/ not found
